City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,80.94,77,4,11.36,PF,1616124211
Dingle,10.9995,122.6711,86.47,66,62,8.59,PH,1616124422
Vadsø,70.0744,29.7487,3.2,92,82,6.91,NO,1616124424
Provideniya,64.3833,-173.3,1.4,60,0,2.24,RU,1616124426
Bredasdorp,-34.5322,20.0403,60.8,94,100,6.91,ZA,1616124381
Saint-Joseph,-21.3667,55.6167,75.99,73,20,4.61,RE,1616124428
Caconda,-13.7333,15.0667,58.5,94,100,1.34,AO,1616124429
Cidreira,-30.1811,-50.2056,70.34,82,25,7.96,BR,1616124277
Hilo,19.7297,-155.09,68.0,88,90,8.05,US,1616124286
Hāveri,14.8,75.4,79.63,49,54,2.95,IN,1616124432
Mar del Plata,-38.0023,-57.5575,54.0,93,0,0.74,AR,1616124434
Avarua,-21.2078,-159.775,82.4,74,40,11.5,CK,1616124276
Yambio,4.5721,28.3955,66.78,83,53,2.24,SS,1616124436
Mahébourg,-20.4081,57.7,73.4,88,40,1.14,MU,1616124398
Balabac,7.9868,117.0645,85.37,65,100,3.69,PH,1616124438
Saint-Philippe,-21.3585,55.7679,75.99,73,20,4.61,RE,1616124439
Lompoc,34.6391,-120.4579,55.4,76,20,3.98,US,1616124400
Nikolskoye,59.7035,30.7861,21.0,85,0,4.47,RU,1616124418
Kapaa,22.0752,-159.319,71.01,68,90,19.57,US,1616124213
Hithadhoo,-0.6,73.0833,82.96,70,100,6.31,MV,1616124199
Lesozavodsk,45.4794,133.4244,31.91,64,100,4.05,RU,1616124444
Tasiilaq,65.6145,-37.6368,33.8,60,75,5.75,GL,1616124230
Östersund,63.1792,14.6357,15.8,67,61,4.61,SE,1616124446
Puerto Ayora,-0.7393,-90.3518,78.01,92,71,6.15,EC,1616124261
Prainha,-1.8,-53.48,74.26,83,100,1.12,BR,1616124448
Torbay,47.6666,-52.7314,37.0,87,90,24.16,CA,1616124449
Bluff,-46.6,168.3333,60.01,71,59,8.01,NZ,1616124272
Puerto del Rosario,28.5004,-13.8627,62.6,77,20,10.36,ES,1616124451
Saldanha,-33.0117,17.9442,61.93,89,100,12.73,ZA,1616124031
Deputatsky,69.3,139.9,-18.67,83,28,4.56,RU,1616124455
Carnarvon,-24.8667,113.6333,93.2,24,0,12.66,AU,1616124354
Charters Towers,-20.1,146.2667,85.89,52,100,8.23,AU,1616124457
Hong Kong,22.2855,114.1577,82.99,65,20,14.97,HK,1616124323
Ushuaia,-54.8,-68.3,44.6,76,40,6.91,AR,1616124198
Rikitea,-23.1203,-134.9692,80.24,77,83,12.68,PF,1616124204
Mahendragarh,28.2833,76.15,78.78,26,100,4.0,IN,1616124461
Jérémie,18.65,-74.1167,75.54,82,19,2.75,HT,1616124462
Bathsheba,13.2167,-59.5167,75.2,69,40,9.22,BB,1616124463
Albany,42.6001,-73.9662,37.4,60,90,14.97,US,1616124122
Punta Arenas,-53.15,-70.9167,48.2,81,75,9.22,CL,1616124270
Kruisfontein,-34.0033,24.7314,68.0,76,2,5.99,ZA,1616124292
Upernavik,72.7868,-56.1549,-3.66,94,100,6.96,GL,1616124255
Port Alfred,-33.5906,26.891,70.34,87,66,22.93,ZA,1616124469
Evanston,42.0411,-87.6901,39.0,70,75,26.46,US,1616124470
Sur,22.5667,59.5289,79.74,39,0,4.21,OM,1616124471
Kaitangata,-46.2817,169.8464,61.0,61,95,8.01,NZ,1616124279
Broome,42.2506,-75.833,35.01,74,1,18.41,US,1616124473
Yellowknife,62.456,-114.3525,26.01,73,75,2.3,CA,1616124241
Busselton,-33.65,115.3333,83.37,32,86,9.06,AU,1616124231
Barrow,71.2906,-156.7887,1.4,71,90,13.8,US,1616124250
Saskylakh,71.9167,114.0833,-20.7,92,100,13.47,RU,1616124220
Souillac,-20.5167,57.5167,73.4,88,40,1.14,MU,1616124283
Cururupu,-1.8283,-44.8683,73.6,97,100,1.28,BR,1616124480
Vaini,-21.2,-175.2,82.4,83,75,8.05,TO,1616124257
Beisfjord,68.3751,17.5988,26.6,46,90,10.36,NO,1616124481
Tuatapere,-46.1333,167.6833,60.01,71,84,8.01,NZ,1616124370
Liuhe,42.2401,125.7172,48.94,29,12,2.28,CN,1616124484
Castro,-24.7911,-50.0119,62.85,98,46,8.39,BR,1616124384
Hermanus,-34.4187,19.2345,61.0,95,100,9.06,ZA,1616124209
Praia da Vitória,38.7333,-27.0667,59.0,100,75,10.87,PT,1616124366
Hobart,-42.8794,147.3294,75.0,43,20,5.75,AU,1616124269
Cape Town,-33.9258,18.4232,64.0,94,75,10.36,ZA,1616124423
Gamba,-2.65,10.0,77.31,82,100,2.08,GA,1616124489
Port Blair,11.6667,92.75,85.37,50,0,6.02,IN,1616124490
Thompson,55.7435,-97.8558,37.4,56,1,5.75,CA,1616124252
Pacific Grove,36.6177,-121.9166,57.2,88,90,6.96,US,1616124493
San Patricio,28.017,-97.5169,63.0,39,1,10.36,US,1616124494
Hīt,33.6416,42.8251,57.74,46,0,4.43,IQ,1616124495
Mount Isa,-20.7333,139.5,93.2,31,40,11.5,AU,1616124496
Sabang,5.8933,95.3214,83.23,70,17,10.67,ID,1616124497
Garoowe,8.4054,48.4845,72.01,74,99,10.63,SO,1616124498
Borås,57.721,12.9401,30.2,80,90,14.97,SE,1616124499
Faanui,-16.4833,-151.75,82.44,64,58,3.91,PF,1616124203
Bilma,18.6853,12.9164,77.88,18,12,5.93,NE,1616124406
Solnechnyy,50.7214,136.6319,28.47,65,92,3.65,RU,1616124502
Mataura,-46.1927,168.8643,60.01,71,78,8.01,NZ,1616124225
Tuktoyaktuk,69.4541,-133.0374,-14.8,76,40,6.91,CA,1616124352
Tiksi,71.6872,128.8694,-4.07,95,100,11.27,RU,1616124348
Arman',59.7,150.1667,15.21,58,0,6.44,RU,1616124506
Malé,4.1748,73.5089,86.0,70,75,5.75,MV,1616124507
Poum,-20.2333,164.0167,80.1,79,100,17.56,NC,1616124273
Yar-Sale,66.8333,70.8333,-6.59,97,99,9.57,RU,1616124509
Esperance,-33.8667,121.9,78.8,38,0,8.05,AU,1616124404
Archidona,37.0965,-4.3887,54.0,94,36,1.01,ES,1616124511
Hamilton,39.1834,-84.5333,42.01,75,90,25.32,US,1616124046
Bengkulu,-3.8004,102.2655,76.14,86,100,3.76,ID,1616124326
Arraial do Cabo,-22.9661,-42.0278,76.46,87,86,21.74,BR,1616124514
Ribeira Grande,38.5167,-28.7,59.76,82,98,23.31,PT,1616124515
Cap Malheureux,-19.9842,57.6142,79.0,74,3,1.99,MU,1616124516
Diego de Almagro,-26.3667,-70.05,53.73,84,1,0.47,CL,1616124517
The Valley,18.217,-63.0578,77.0,69,20,11.5,AI,1616124385
Lebu,-37.6167,-73.65,53.17,88,3,3.53,CL,1616124319
Yangambi,0.8102,24.4336,69.49,79,32,1.41,CD,1616124520
Brigantine,39.4101,-74.3646,48.99,100,90,10.36,US,1616124522
Dikson,73.5069,80.5464,-25.64,97,56,8.84,RU,1616124271
Linares,-35.85,-71.6,47.84,88,0,3.04,CL,1616124525
Amontada,-3.3617,-39.8317,73.47,95,94,3.06,BR,1616124526
Vanavara,60.34,102.2797,19.22,88,100,11.07,RU,1616124527
Esso,55.9333,158.7,29.34,89,100,5.35,RU,1616124528
Jamestown,42.097,-79.2353,32.0,59,1,18.28,US,1616124245
Nānākuli,21.3906,-158.1547,73.4,64,75,12.66,US,1616124530
Mariehamn,60.0973,19.9348,26.6,50,0,13.8,AX,1616124531
Fukuechō,32.6881,128.8419,62.6,77,75,11.5,JP,1616124407
Port Elizabeth,-33.918,25.5701,68.0,88,0,27.63,ZA,1616124282
Namatanai,-3.6667,152.4333,86.41,60,100,5.17,PG,1616124190
Narsaq,60.9167,-46.05,26.6,63,90,4.61,GL,1616124314
Aklavik,68.2191,-135.0107,-9.4,77,67,4.61,CA,1616124294
Port Macquarie,-31.4333,152.9167,71.6,94,90,14.97,AU,1616124536
Caravelas,-17.7125,-39.2481,75.69,89,33,4.74,BR,1616124538
Ancud,-41.8697,-73.8203,48.99,87,0,5.46,CL,1616124317
Oranjestad,12.524,-70.027,78.8,73,20,14.97,AW,1616124540
Koumac,-20.5667,164.2833,81.66,73,100,5.37,NC,1616124524
Manhattan,40.7834,-73.9662,45.0,87,90,10.36,US,1616124485
East London,-33.0153,27.9116,68.0,94,75,16.11,ZA,1616124544
Yamoussoukro,6.8206,-5.2767,73.4,94,40,4.61,CI,1616124545
Qaanaaq,77.484,-69.3632,-13.49,79,31,7.56,GL,1616124369
Saint Paul Harbor,57.79,-152.4072,26.6,43,90,10.36,US,1616124378
Moranbah,-22.0016,148.0466,84.94,56,100,15.5,AU,1616124548
Grand Gaube,-20.0064,57.6608,79.0,74,3,3.0,MU,1616124549
Bagdogra,26.7,88.3167,84.54,20,1,5.93,IN,1616124550
Makushino,55.2103,67.2442,23.77,81,100,13.96,RU,1616124551
Airai,-8.9266,125.4092,72.59,72,100,1.95,TL,1616124376
Laguna,38.421,-121.4238,54.0,94,90,3.44,US,1616124349
Shingū,33.7333,135.9833,60.8,55,0,5.75,JP,1616124467
George Town,5.4112,100.3354,87.8,48,20,3.44,MY,1616124032
Idenao,4.2475,9.0047,77.7,87,99,3.24,CM,1616124556
Mount Gambier,-37.8333,140.7667,80.6,41,0,8.05,AU,1616124557
Yantzaza,-3.8278,-78.7594,67.59,98,100,1.48,EC,1616124559
Simimbaan,17.1157,121.5824,84.07,75,74,3.76,PH,1616124560
Mpulungu,-8.7623,31.1141,71.33,77,98,4.81,ZM,1616124561
Khanpur,28.6453,70.6567,73.56,34,0,12.39,PK,1616124549
Ciawi,-7.5117,107.9767,80.46,63,62,3.85,ID,1616124563
Arroyo de la Encomienda,41.6096,-4.7969,39.0,81,75,13.8,ES,1616124565
Saint Anthony,45.0205,-93.218,41.0,48,1,5.75,US,1616124383
Kitui,-1.367,38.0106,66.02,91,100,3.4,KE,1616124568
Sayyan,15.1718,44.3244,50.63,22,73,2.64,YE,1616124569
Husavik,66.0449,-17.3389,46.4,71,75,12.66,IS,1616124512
Iwaki,37.05,140.8833,59.0,60,87,7.0,JP,1616124572
Fortuna,40.5982,-124.1573,48.99,87,75,6.91,US,1616124458
Duiwelskloof,-23.6934,30.14,63.18,86,0,2.48,ZA,1616124574
Comodoro Rivadavia,-45.8667,-67.5,64.4,42,0,6.91,AR,1616124543
Talnakh,69.4865,88.3972,-16.71,96,100,5.93,RU,1616124334
Griffith,41.5284,-87.4237,37.99,81,1,11.5,US,1616124577
Gornopravdinsk,60.05,69.9,22.82,87,100,9.84,RU,1616124578
Maniwaki,46.3834,-75.966,21.2,42,0,14.97,CA,1616124579
Cabo San Lucas,22.8909,-109.9124,78.8,31,1,8.05,MX,1616124406
Dandong,40.1292,124.3947,53.13,42,25,3.13,CN,1616124582
Codrington,-38.2667,141.9667,74.23,56,0,9.31,AU,1616124419
Ahipara,-35.1667,173.1667,68.5,60,70,9.19,NZ,1616124340
Minot,48.2325,-101.2963,41.0,60,1,11.5,US,1616124585
Santa Cruz de la Sierra,-17.8,-63.1667,71.6,83,75,3.44,BO,1616124586
Magadan,59.5667,150.8,13.8,58,0,4.09,RU,1616124387
Ilulissat,69.2167,-51.1,6.8,66,55,6.91,GL,1616124432
Çorlu,41.1592,27.8,35.6,93,75,5.75,TR,1616124589
Clyde River,70.4692,-68.5914,-25.6,68,1,4.61,CA,1616124591
Ovalle,-30.5983,-71.2003,50.86,87,0,1.72,CL,1616124507
Lufilufi,-13.8745,-171.5986,82.4,89,75,6.91,WS,1616124594
Shenjiamen,29.9576,122.298,54.01,96,100,6.38,CN,1616124417
Bay City,43.5945,-83.8889,35.01,60,1,13.8,US,1616124596
Severo-Kuril'sk,50.6789,156.125,31.82,91,75,8.48,RU,1616124207
Lorengau,-2.0226,147.2712,84.49,72,89,5.08,PG,1616124309
Ostrovnoy,68.0531,39.5131,13.15,84,99,5.91,RU,1616124361
Ascension,30.2169,-90.9001,57.2,62,1,5.75,US,1616124600
Mwense,-10.3845,28.698,63.77,91,100,3.0,ZM,1616124603
Kieta,-6.2167,155.6333,83.64,75,62,3.89,PG,1616124604
Vuktyl,63.8567,57.3094,23.36,96,100,2.15,RU,1616124607
Coahuayana Viejo,18.7333,-103.6833,67.53,88,0,3.33,MX,1616124608
Navalmoral de la Mata,39.8916,-5.5406,37.99,67,15,1.99,ES,1616124609
Djibo,14.1022,-1.6306,75.51,12,12,8.81,BF,1616124610
Vila Velha,-20.3297,-40.2925,73.4,94,20,3.44,BR,1616124611
Butaritari,3.0707,172.7902,81.66,76,2,11.05,KI,1616124224
São João da Barra,-21.6403,-41.0511,76.48,86,70,16.42,BR,1616124469
San Quintín,30.4833,-115.95,56.48,83,0,12.8,MX,1616124614
Tsimmerbude,54.675,20.1347,32.0,93,75,2.24,RU,1616124552
Karasjok,69.4719,25.5112,15.8,73,40,19.57,NO,1616124616
Dhidhdhoo,6.8833,73.1,82.31,68,60,6.06,MV,1616124618
Ulaanbaatar,47.9077,106.8832,17.6,53,75,4.47,MN,1616124548
Batemans Bay,-35.7167,150.1833,73.0,75,100,3.0,AU,1616124609
Guararapes,-21.2608,-50.6428,70.92,86,12,8.16,BR,1616124622
Awjilah,29.1081,21.2869,59.47,35,54,10.74,LY,1616124594
Buala,-8.145,159.5921,85.08,66,77,1.36,SB,1616124624
Vestmanna,62.1564,-7.1664,44.6,100,75,13.8,FO,1616124626
Okhotsk,59.3833,143.3,17.47,64,0,21.85,RU,1616124605
Natal,-5.795,-35.2094,78.8,83,0,6.91,BR,1616124246
Nara,34.6851,135.8049,62.6,29,0,3.44,JP,1616124629
Caluquembe,-13.7833,14.6833,58.3,95,100,0.98,AO,1616124630
Isangel,-19.55,169.2667,86.0,66,75,11.5,VU,1616124322
Chapais,49.7834,-74.8492,3.2,72,1,5.75,CA,1616124537
San Andrés,12.5847,-81.7006,80.6,78,40,10.36,CO,1616124633
Longyearbyen,78.2186,15.6401,30.2,100,90,31.07,SJ,1616124348
Rumuruti,0.267,36.5389,58.1,90,94,7.09,KE,1616124635
Kamenka,51.3223,42.7678,28.0,88,99,6.06,RU,1616124636
Katsuura,35.1333,140.3,62.01,55,75,14.97,JP,1616124295
Kungurtug,50.5994,97.5228,14.29,73,100,1.5,RU,1616124639
Vila Franca do Campo,37.7167,-25.4333,59.0,77,75,8.05,PT,1616124373
Fereydūnkenār,36.6864,52.5225,51.69,84,97,4.63,IR,1616124642
Longhua,23.6137,114.1919,81.99,62,93,4.18,CN,1616124643
Nemuro,43.3236,145.575,32.0,59,75,8.05,JP,1616124644
Ous,60.9058,61.5186,20.79,96,100,2.28,RU,1616124441
Ambon City,-3.6954,128.1814,89.6,62,40,8.05,ID,1616124647
Moerai,-22.4333,-151.3333,79.43,77,0,16.64,PF,1616124648
Pangnirtung,66.1451,-65.7125,-17.72,77,0,2.86,CA,1616124297
Banda Aceh,5.5577,95.3222,83.86,72,6,9.13,ID,1616124501
Cayenne,4.9333,-52.3333,78.01,94,20,2.3,GF,1616124651
Urucará,-2.5364,-57.76,71.35,99,100,1.3,BR,1616124652
Abéché,13.8292,20.8324,82.54,16,18,17.43,TD,1616124427
Tahe,52.3333,124.7333,28.69,60,5,4.72,CN,1616124654
Khatanga,71.9667,102.5,-14.39,93,100,11.05,RU,1616124350
Bethel,41.3712,-73.414,41.0,91,100,4.0,US,1616124229
Meulaboh,4.1363,96.1285,83.75,73,89,3.62,ID,1616124551
Gushikawa,26.3544,127.8686,75.2,78,75,3.44,JP,1616124659
Maragogi,-9.0122,-35.2225,76.78,84,57,4.81,BR,1616124660
Griffin,33.2468,-84.2641,51.01,76,90,16.11,US,1616124661
Visnes,59.3556,5.2242,37.99,93,0,5.75,NO,1616124663
Roald,62.5833,6.1333,37.4,100,90,6.91,NO,1616124332
Shubarkuduk,49.1447,56.4872,34.72,92,97,19.28,KZ,1616124665
Geraldton,-28.7667,114.6,100.4,8,0,16.11,AU,1616124290
Kanigoro,-8.13,112.219,86.9,64,64,6.76,ID,1616124667
Harar,9.3094,42.1258,60.57,79,5,1.57,ET,1616124670
Pedernales,18.0384,-71.744,76.17,68,3,4.99,DO,1616124671
Broken Hill,-31.95,141.4333,78.8,47,7,18.41,AU,1616124497
Bambous Virieux,-20.3428,57.7575,79.0,88,40,1.14,MU,1616124674
Lumberton,34.6182,-79.0086,62.6,88,75,5.75,US,1616124613
Tāybād,34.74,60.7756,68.22,30,100,10.96,IR,1616124677
Itoman,26.1247,127.6694,75.2,78,40,6.91,JP,1616124678
Arlit,18.7369,7.3853,73.35,18,3,2.35,NE,1616124680
Gorontalo,0.5412,123.0595,86.41,75,64,4.16,ID,1616124681
Nhulunbuy,-12.2333,136.7667,80.6,89,75,4.61,AU,1616124682
Farnes,61.3167,7.8,22.77,85,0,1.92,NO,1616124684
Khuzdar,27.7384,66.6434,72.28,19,8,3.06,PK,1616124681
Betanzos,43.2804,-8.2147,50.0,72,88,1.99,ES,1616124686
Itarema,-2.9248,-39.9167,75.96,90,85,5.55,BR,1616124687
São Filipe,14.8961,-24.4956,70.57,78,4,5.21,CV,1616124689
Bārāmati,18.15,74.5833,86.4,23,49,11.21,IN,1616124690
Pisco,-13.7,-76.2167,69.01,83,0,9.22,PE,1616124278
Nishihara,26.1842,127.7558,75.2,78,75,5.75,JP,1616124692
Vilhena,-12.7406,-60.1458,67.06,98,98,0.65,BR,1616124694
Koz'modem'yansk,56.3367,46.5711,21.2,93,75,4.47,RU,1616124695
Opuwo,-18.0607,13.84,67.96,76,100,3.69,NA,1616124696
Pevek,69.7008,170.3133,-15.74,86,13,2.04,RU,1616124301
Onufriyivka,48.9072,33.4487,30.42,86,24,4.56,UA,1616124698
York,40.1254,-77.0,43.0,84,100,8.99,US,1616124682
Solenzo,12.1833,-4.0833,77.83,15,14,4.38,BF,1616124700
Hammerfest,70.6634,23.6821,21.2,68,0,18.41,NO,1616124702
Honiara,-9.4333,159.95,84.9,75,97,2.48,SB,1616124703
Amahai,-3.3333,128.9167,84.99,75,87,7.14,ID,1616124704
Kjøllefjord,70.9457,27.3465,22.01,74,99,23.26,NO,1616124131
Noyabrsk,63.1994,75.4507,25.25,95,100,12.68,RU,1616124554
Rocha,-34.4833,-54.3333,53.49,80,45,3.89,UY,1616124707
Coyhaique,-45.5752,-72.0662,45.37,93,88,6.15,CL,1616124279
Buraidah,26.326,43.975,64.4,45,0,5.75,SA,1616124616
Nouadhibou,20.931,-17.0347,62.6,77,0,17.27,MR,1616124710
Ibiá,-19.4783,-46.5389,71.6,68,0,10.36,BR,1616124711
Paphos,34.7667,32.4167,57.2,54,40,10.36,CY,1616124713
Santa Isabel Rio Negro,-0.4139,-65.0192,72.5,98,83,1.48,BR,1616124714
New Norfolk,-42.7826,147.0587,75.99,37,0,1.01,AU,1616124715
Saint George,37.1041,-113.5841,63.0,48,1,6.91,US,1616124716
San Policarpo,12.1791,125.5072,84.85,68,17,7.38,PH,1616124717
Mīzan Teferī,6.9833,35.5833,60.89,93,28,2.33,ET,1616124718
Flinders,-34.5833,150.8552,71.01,81,100,3.0,AU,1616124215
Altagracia de Orituco,9.8601,-66.3814,70.32,83,99,6.58,VE,1616124721
Baykit,61.67,96.37,19.89,88,99,7.2,RU,1616124510
Kargil,34.5667,76.1,19.31,54,74,1.19,IN,1616124723
Gamboma,-1.8764,15.8644,72.05,91,100,3.44,CG,1616124724
Pinsk,52.1229,26.0951,27.07,85,34,3.31,BY,1616124725
Puerto Escondido,15.85,-97.0667,78.8,78,1,6.33,MX,1616124599
Sisimiut,66.9395,-53.6735,13.86,66,96,18.97,GL,1616124727
Tevriz,57.509,72.4042,24.19,76,100,10.02,RU,1616124729
Kunduz,36.729,68.857,62.55,37,100,4.61,AF,1616124730
Abu Dhabi,24.4667,54.3667,78.8,22,0,9.22,AE,1616124648
Abengourou,6.7297,-3.4964,72.28,91,99,3.04,CI,1616124732
Paita,-5.0892,-81.1144,77.02,73,100,9.62,PE,1616124664
Kutum,14.2,24.6667,68.72,24,75,14.14,SD,1616124734
Nortelândia,-14.4547,-56.8028,72.0,97,100,3.96,BR,1616124735
Genhe,50.7833,121.5167,28.62,78,68,1.99,CN,1616124736
Oltu,40.5498,42.0013,29.89,76,99,6.31,TR,1616124737
Port Augusta,-32.5,137.7667,82.99,50,77,12.66,AU,1616124738
Acajutla,13.5928,-89.8275,78.75,73,38,5.14,SV,1616124739
